"pool_size","duration","p99_ms","repeat","sellout_sec","p50_ms","db_active","excess_reservations","http_reqs","duplicated_seats","run_id","vus","sweep","strategy","pool_timeouts","kind","seat_count","label","error_rate","usage_ms","tps_spread_pct","check_ok_rate","tps","db_cpu_pct","sold_seats","max_ms","db_conns","acquire_ms","p95_ms","value"
"200","15s","35.3","3","0.496","17.56","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","16.48","","0.6667","6551.5","77.5","500","102.28","201","0.021","24.24","200"
"200","15s","39.61","0","0.514","17.66","1","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","16.749","1.4","","6483.6","77.5","","","201","0.021","25.23","200"
"5","15s","110.35","1","1.389","47.02","1.8","0","59751","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","0.968","","0.6667","3950.2","43.4","500","311.63","6","48.514","62.46","5"
"5","15s","98.85","2","1.052","47.29","1.1","0","61117","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","0.967","","0.6667","4044.8","43","500","275.56","6","47.409","56.82","5"
"5","15s","94.12","3","1.015","47.03","1.3","0","61956","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","0.937","","0.6667","4102","49.4","500","204.4","6","46.771","58.86","5"
"5","15s","98.85","0","1.052","47.03","1.3","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","0.967","3.8","","4044.8","43.4","","","6","47.409","58.86","5"
"10","15s","64.53","1","0.811","29.12","1.2","0","98174","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.083","","0.6667","6110.3","73.3","500","191.6","11","28.422","47.2","10"
"10","15s","60.17","2","0.918","28.72","1.2","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.052","","0.6667","6268.2","75","500","161.91","11","27.493","41.52","10"
"10","15s","62.02","3","0.766","29.74","1.7","0","98304","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.063","","0.6667","6119.8","77.6","500","158.61","11","28.418","39.14","10"
"10","15s","62.02","0","0.811","29.12","1.2","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","1.063","2.6","","6119.8","75","","","11","28.418","41.52","10"
"20","15s","55.54","1","0.5","20.71","1.3","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.647","","0.6667","6215.9","89.5","500","192.9","21","18.834","39.37","20"
