"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"137.53","0.142","1244.8","pessimistic","44.97","100","100","67.53","2","20004","경합강도","29.2","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"94.33","0.163","1245.1","pessimistic","39.33","100","100","60.04","3","20004","경합강도","29.22","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.163","1245.1","pessimistic","44.97","100","100","67.53","0","","경합강도","29.22","median","","","","3.2","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"166.32","0.271","2527.7","pessimistic","52.76","200","200","79.89","1","40004","경합강도","30.94","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"165.54","0.248","2489","pessimistic","51.58","200","200","65.56","2","40004","경합강도","28.75","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"135.72","0.221","2504.1","pessimistic","37.9","200","200","59.26","3","40004","경합강도","28.61","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.248","2504.1","pessimistic","51.58","200","200","65.56","0","","경합강도","28.75","median","","","","1.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"198.18","1.019","6205.5","pessimistic","45.4","500","500","62.6","1","99706","경합강도","28.77","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"168.21","0.678","6245.6","pessimistic","40.55","500","500","60.02","2","100004","경합강도","28.88","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"129.4","0.878","6361.1","pessimistic","37.47","500","500","58.58","3","100004","경합강도","28.59","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.878","6245.6","pessimistic","40.55","500","500","60.02","0","","경합강도","28.77","median","","","","2.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"205.23","1.11","6364.7","pessimistic","50.27","1000","1000","65.75","1","96077","경합강도","29.36","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"189.34","0.813","6324.5","pessimistic","39.14","1000","1000","58.74","2","100004","경합강도","28.5","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"152.74","0.608","6401.9","pessimistic","36.47","1000","1000","58.1","3","100004","경합강도","28.27","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.813","6364.7","pessimistic","39.14","1000","1000","58.74","0","","경합강도","28.5","median","","","","1.2","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"96.36","0","13.4","optimistic","79.66","1","1","94.78","1","204","경합강도","51.76","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"99.28","0","13.4","optimistic","77.59","1","1","97.92","2","204","경합강도","56.45","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"87.46","0","13.5","optimistic","70.08","1","1","86.82","3","204","경합강도","51.35","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0","13.4","optimistic","77.59","1","1","94.78","0","","경합강도","51.76","median","","","","0.7","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"126.85","0.001","26.5","optimistic","84.09","2","2","119.59","1","404","경합강도","61.93","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"118.4","0.006","26.5","optimistic","82.53","2","2","114.71","2","404","경합강도","71.24","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"144","0.001","26.5","optimistic","94.06","2","2","135.76","3","404","경합강도","65.93","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.001","26.5","optimistic","84.09","2","2","119.59","0","","경합강도","65.93","median","","","","0","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"145.14","0.008","64.9","optimistic","87.75","5","5","98.11","1","1004","경합강도","67.48","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"125.76","0.023","65.1","optimistic","68.73","5","5","101.62","2","1004","경합강도","62.89","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"156.36","0.013","65.2","optimistic","64.26","5","5","119.37","3","1004","경합강도","61.14","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.013","65.1","optimistic","68.73","5","5","101.62","0","","경합강도","62.89","median","","","","0.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"146.2","0.018","126.6","optimistic","86.49","10","10","93.46","1","2004","경합강도","70.04","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"179.88","0.035","127.8","optimistic","68.26","10","10","101.01","2","2004","경합강도","51.42","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"175.87","0.026","127.5","optimistic","70.87","10","10","117.94","3","2004","경합강도","62.13","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.026","127.5","optimistic","70.87","10","10","101.01","0","","경합강도","62.13","median","","","","0.9","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"114.4","0.04","262.3","optimistic","70.8","20","20","77.08","1","4004","경합강도","55.84","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"166.32","0.031","262.7","optimistic","65.77","20","20","107.17","2","4004","경합강도","56.49","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"223.46","0.041","249.2","optimistic","102.32","20","20","120.69","3","4004","경합강도","57.58","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.04","262.3","optimistic","70.8","20","20","107.17","0","","경합강도","56.49","median","","","","5.1","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"173.45","0.124","631.3","optimistic","68.42","50","50","102.8","1","10004","경합강도","53.89","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"110.46","0.083","647.7","optimistic","61.09","50","50","83.44","2","10004","경합강도","45.53","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"124.16","0.055","641.2","optimistic","38.8","50","50","59.57","3","10004","경합강도","29","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.083","641.2","optimistic","61.09","50","50","83.44","0","","경합강도","45.53","median","","","","2.6","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"150.77","0.173","1244.6","optimistic","56.24","100","100","83.18","1","20004","경합강도","42.27","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"135.57","0.156","1245.4","optimistic","40.14","100","100","63.39","2","20004","경합강도","29.57","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"106.73","0.1","1255.9","optimistic","37.77","100","100","56.62","3","20004","경합강도","27.67","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.156","1245.4","optimistic","40.14","100","100","63.39","0","","경합강도","29.57","median","","","","0.9","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"171.14","0.385","2509.1","optimistic","51.97","200","200","69.4","1","40004","경합강도","28.74","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"134.58","0.278","2515.8","optimistic","48.09","200","200","60.82","2","40004","경합강도","27.69","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"138.48","0.193","2520.7","optimistic","39.21","200","200","58.3","3","40004","경합강도","28.17","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.278","2515.8","optimistic","48.09","200","200","60.82","0","","경합강도","28.17","median","","","","0.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"217.07","0.866","6246.4","optimistic","49.78","500","500","60.84","1","100004","경합강도","27.96","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"240.59","0.771","6229.5","optimistic","41.29","500","500","58.31","2","100004","경합강도","27.73","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"162.17","0.702","6239.6","optimistic","36.97","500","500","57.81","3","100004","경합강도","27.75","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.771","6239.6","optimistic","41.29","500","500","58.31","0","","경합강도","27.75","median","","","","0.3","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"338.09","1.144","6288.7","optimistic","53.21","1000","1000","85.39","1","94968","경합강도","29.23","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"202.96","0.822","6337.6","optimistic","47.35","1000","1000","61.11","2","100004","경합강도","28.29","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"143.33","0.629","6356.6","optimistic","40.13","1000","1000","58.78","3","100004","경합강도","28.28","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.822","6337.6","optimistic","47.35","1000","1000","61.11","0","","경합강도","28.29","median","","","","1.1","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"87.01","0","13.4","atomic","84.87","1","1","86.98","1","204","경합강도","58.42","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"90.93","0","13.4","atomic","88.56","1","1","89.92","2","204","경합강도","72.85","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"84.71","0","13.4","atomic","82.55","1","1","84.34","3","204","경합강도","62.98","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0","13.4","atomic","84.87","1","1","86.98","0","","경합강도","62.98","median","","","","0","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"105.02","0.003","26.4","atomic","85.32","2","2","86.94","1","404","경합강도","78.62","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"162.58","0.002","26.4","atomic","91.78","2","2","97.01","2","404","경합강도","76.5","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"125.54","0.007","26.5","atomic","94.11","2","2","98.92","3","404","경합강도","72.48","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.003","26.4","atomic","91.78","2","2","97.01","0","","경합강도","76.5","median","","","","0.4","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"172.29","0.007","64.7","atomic","98.43","5","5","100.48","1","1004","경합강도","76.5","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"149.63","0.01","64.9","atomic","84.8","5","5","100.38","2","1004","경합강도","75.18","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"194.22","0.02","65","atomic","103.07","5","5","143.75","3","1004","경합강도","64.4","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.01","64.9","atomic","98.43","5","5","100.48","0","","경합강도","75.18","median","","","","0.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"220.99","0.038","125.9","atomic","93.66","10","10","147.61","1","2004","경합강도","77.41","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"190.08","0.024","127.7","atomic","63.27","10","10","115.89","2","2004","경합강도","59.65","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"179.24","0.037","127.1","atomic","72.15","10","10","121.02","3","2004","경합강도","59.83","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.037","127.1","atomic","72.15","10","10","121.02","0","","경합강도","59.83","median","","","","1.4","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"119.08","0.026","260.7","atomic","72.03","20","20","76.37","1","4004","경합강도","60.94","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"185.42","0.028","261.7","atomic","72.18","20","20","116.08","2","4004","경합강도","57.93","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"151.79","0.031","249.2","atomic","62.09","20","20","93.66","3","4004","경합강도","50.22","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.028","260.7","atomic","72.03","20","20","93.66","0","","경합강도","57.93","median","","","","4.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"203.74","0.084","626.1","atomic","71.48","50","50","100.54","1","10004","경합강도","56","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"201.82","0.062","651.7","atomic","71.96","50","50","88.19","2","10004","경합강도","44.68","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"143.56","0.053","637.2","atomic","50.02","50","50","64.4","3","10004","경합강도","30.31","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.062","637.2","atomic","71.48","50","50","88.19","0","","경합강도","44.68","median","","","","4","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"170.11","0.183","1286.9","atomic","60.06","100","100","85.41","1","20004","경합강도","44.87","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"128.48","0.137","1307.9","atomic","42.98","100","100","63.93","2","20004","경합강도","30.6","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"115.54","0.155","1245.4","atomic","45.59","100","100","62.32","3","20004","경합강도","28.47","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.155","1286.9","atomic","45.59","100","100","63.93","0","","경합강도","30.6","median","","","","4.9","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"136.19","0.26","2486.1","atomic","46.56","200","200","63.37","1","40004","경합강도","29.6","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
